model,configuration,training_strategy,threshold_strategy,threshold,val_accuracy,val_balanced_accuracy,val_real_precision,val_real_recall,val_fake_precision,val_fake_recall,val_macro_f1,val_weighted_f1,val_roc_auc,val_pr_auc,diagnostic
RBFSVM C=1.0 g=scale,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,default_0.5,0.5,0.5833,0.5,0.1667,0.375,0.8333,0.625,0.4725,0.6337,0.5188,0.8614,WARNING: REAL recall=0.375 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=1.0 g=scale,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,youden,0.591,0.2812,0.5687,0.1882,1.0,1.0,0.1375,0.2793,0.2543,0.5188,0.8614,WARNING: FAKE recall=0.138 < 0.50
RBFSVM C=1.0 g=scale,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,ba_opt,0.1,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5188,0.8614,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=10.0 g=scale,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5,0.8469,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=10.0 g=scale,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,youden,0.9957,0.4479,0.5437,0.1864,0.6875,0.8649,0.4,0.4202,0.5047,0.5,0.8469,WARNING: FAKE recall=0.400 < 0.50; Balanced Acc=0.544 <= 0.55
RBFSVM C=10.0 g=scale,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,ba_opt,0.1,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5,0.8469,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=10.0 g=scale,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,default_0.5,0.5,0.5833,0.525,0.1842,0.4375,0.8448,0.6125,0.4847,0.635,0.5172,0.854,WARNING: REAL recall=0.438 < 0.50; Balanced Acc=0.525 <= 0.55
RBFSVM C=10.0 g=scale,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,youden,0.5647,0.4375,0.5625,0.1935,0.75,0.8824,0.375,0.417,0.4899,0.5172,0.854,WARNING: FAKE recall=0.375 < 0.50
RBFSVM C=10.0 g=scale,"{'C': 10.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,ba_opt,0.65,0.2604,0.5312,0.1765,0.9375,0.9091,0.125,0.2584,0.2327,0.5172,0.854,WARNING: FAKE recall=0.125 < 0.50; Balanced Acc=0.531 <= 0.55
RBFSVM C=1.0 g=auto,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5086,0.843,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=1.0 g=auto,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,youden,0.9643,0.5208,0.5375,0.1875,0.5625,0.8542,0.5125,0.4609,0.5807,0.5086,0.843,WARNING: Balanced Acc=0.537 <= 0.55
RBFSVM C=1.0 g=auto,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",full_class_weight,ba_opt,0.1,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5086,0.843,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=1.0 g=auto,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,default_0.5,0.5,0.5833,0.5,0.1667,0.375,0.8333,0.625,0.4725,0.6337,0.5188,0.8606,WARNING: REAL recall=0.375 < 0.50; Balanced Acc=0.500 <= 0.55
RBFSVM C=1.0 g=auto,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,youden,0.5953,0.2708,0.5625,0.186,1.0,1.0,0.125,0.268,0.2375,0.5188,0.8606,WARNING: FAKE recall=0.125 < 0.50
RBFSVM C=1.0 g=auto,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",undersample,ba_opt,0.55,0.3854,0.5062,0.1692,0.6875,0.8387,0.325,0.37,0.4357,0.5188,0.8606,WARNING: FAKE recall=0.325 < 0.50; Balanced Acc=0.506 <= 0.55
RF depth=None leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.4844,0.8274,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RF depth=None leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.8467,0.4375,0.5375,0.1833,0.6875,0.8611,0.3875,0.412,0.4936,0.4844,0.8274,WARNING: FAKE recall=0.388 < 0.50; Balanced Acc=0.537 <= 0.55
RF depth=None leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.75,0.8021,0.5062,0.2,0.0625,0.8352,0.95,0.4921,0.7566,0.4844,0.8274,WARNING: REAL recall=0.062 < 0.50; Balanced Acc=0.506 <= 0.55
RF depth=None leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.3958,0.5125,0.1719,0.6875,0.8438,0.3375,0.3786,0.4476,0.5156,0.8329,WARNING: FAKE recall=0.338 < 0.50; Balanced Acc=0.512 <= 0.55
RF depth=None leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,youden,0.4667,0.5729,0.5687,0.2093,0.5625,0.8679,0.575,0.4984,0.6273,0.5156,0.8329,OK
RF depth=None leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.45,0.6354,0.5312,0.1935,0.375,0.8462,0.6875,0.507,0.6747,0.5156,0.8329,WARNING: REAL recall=0.375 < 0.50; Balanced Acc=0.531 <= 0.55
RF depth=10 leaf=2,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.4953,0.8321,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RF depth=10 leaf=2,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.683,0.7917,0.55,0.3,0.1875,0.8488,0.9125,0.5551,0.7714,0.4953,0.8321,WARNING: REAL recall=0.188 < 0.50; Balanced Acc=0.550 <= 0.55
RF depth=10 leaf=2,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.7,0.6979,0.5188,0.1905,0.25,0.84,0.7875,0.5146,0.7135,0.4953,0.8321,WARNING: REAL recall=0.250 < 0.50; Balanced Acc=0.519 <= 0.55
RF depth=10 leaf=2,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.375,0.5,0.1667,0.6875,0.8333,0.3125,0.3614,0.4235,0.4867,0.8357,WARNING: FAKE recall=0.312 < 0.50; Balanced Acc=0.500 <= 0.55
RF depth=10 leaf=2,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,youden,0.582,0.3229,0.5437,0.1818,0.875,0.8947,0.2125,0.3223,0.3364,0.4867,0.8357,WARNING: FAKE recall=0.212 < 0.50; Balanced Acc=0.544 <= 0.55
RF depth=10 leaf=2,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.3,0.8125,0.5125,0.25,0.0625,0.837,0.9625,0.4977,0.7628,0.4867,0.8357,WARNING: REAL recall=0.062 < 0.50; Balanced Acc=0.512 <= 0.55
RF depth=20 leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.4746,0.8194,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
RF depth=20 leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.7645,0.8021,0.5312,0.2857,0.125,0.8427,0.9375,0.5307,0.7686,0.4746,0.8194,WARNING: REAL recall=0.125 < 0.50; Balanced Acc=0.531 <= 0.55
RF depth=20 leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.8,0.6667,0.525,0.1923,0.3125,0.8429,0.7375,0.5124,0.6952,0.4746,0.8194,WARNING: REAL recall=0.312 < 0.50; Balanced Acc=0.525 <= 0.55
RF depth=20 leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.3958,0.5125,0.1719,0.6875,0.8438,0.3375,0.3786,0.4476,0.5156,0.8329,WARNING: FAKE recall=0.338 < 0.50; Balanced Acc=0.512 <= 0.55
RF depth=20 leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,youden,0.4667,0.5729,0.5687,0.2093,0.5625,0.8679,0.575,0.4984,0.6273,0.5156,0.8329,OK
RF depth=20 leaf=1,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.45,0.6354,0.5312,0.1935,0.375,0.8462,0.6875,0.507,0.6747,0.5156,0.8329,WARNING: REAL recall=0.375 < 0.50; Balanced Acc=0.531 <= 0.55
ET depth=None leaf=1,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.5301,0.8596,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
ET depth=None leaf=1,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.8833,0.2917,0.55,0.1829,0.9375,0.9286,0.1625,0.2914,0.2815,0.5301,0.8596,WARNING: FAKE recall=0.163 < 0.50; Balanced Acc=0.550 <= 0.55
ET depth=None leaf=1,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.85,0.4479,0.5437,0.1864,0.6875,0.8649,0.4,0.4202,0.5047,0.5301,0.8596,WARNING: FAKE recall=0.400 < 0.50; Balanced Acc=0.544 <= 0.55
ET depth=None leaf=1,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.375,0.525,0.1765,0.75,0.8571,0.3,0.3651,0.418,0.5293,0.8505,WARNING: FAKE recall=0.300 < 0.50; Balanced Acc=0.525 <= 0.55
ET depth=None leaf=1,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,youden,0.3667,0.7396,0.5687,0.2632,0.3125,0.8571,0.825,0.5632,0.7483,0.5293,0.8505,WARNING: REAL recall=0.312 < 0.50
ET depth=None leaf=1,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,ba_opt,0.35,0.7604,0.5312,0.2308,0.1875,0.8434,0.875,0.5329,0.7502,0.5293,0.8505,WARNING: REAL recall=0.188 < 0.50; Balanced Acc=0.531 <= 0.55
ET depth=10 leaf=2,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,default_0.5,0.5,0.8333,0.5,0.0,0.0,0.8333,1.0,0.4545,0.7576,0.493,0.8355,WARNING: REAL recall=0.000 < 0.50; Balanced Acc=0.500 <= 0.55
ET depth=10 leaf=2,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,youden,0.5929,0.6875,0.5375,0.2083,0.3125,0.8472,0.7625,0.5263,0.7105,0.493,0.8355,WARNING: REAL recall=0.312 < 0.50; Balanced Acc=0.537 <= 0.55
ET depth=10 leaf=2,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",full_class_weight,ba_opt,0.55,0.7812,0.5188,0.2222,0.125,0.8391,0.9125,0.5171,0.7552,0.493,0.8355,WARNING: REAL recall=0.125 < 0.50; Balanced Acc=0.519 <= 0.55
ET depth=10 leaf=2,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,default_0.5,0.5,0.4167,0.5,0.1667,0.625,0.8333,0.375,0.3902,0.4749,0.5062,0.8337,WARNING: FAKE recall=0.375 < 0.50; Balanced Acc=0.500 <= 0.55
ET depth=10 leaf=2,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",undersample,youden,0.5284,0.375,0.55,0.1857,0.8125,0.8846,0.2875,0.3681,0.412,0.5062,0.8337,WARNING: FAKE recall=0.287 < 0.50; Balanced Acc=0.550 <= 0.55
